hexsha,patch,summary,author
79eeab1d85e0,https://github.com/torvalds/linux/commit/79eeab1d85e0,gpio: sim: fix a memory leak,Bartosz Golaszewski
2a00299e7447,https://github.com/torvalds/linux/commit/2a00299e7447,drm/amd/display: Fail atomic_check early on normalize_zpos error,Leo Li
1a6897921f52,https://github.com/torvalds/linux/commit/1a6897921f52,drm/vmwgfx: Stop accessing buffer objects which failed init,Zack Rusin
6f098cde9df2,https://github.com/torvalds/linux/commit/6f098cde9df2,cpufreq: qcom-hw: Add missing null pointer check,Manivannan Sadhasivam
924bd96ea27d,https://github.com/torvalds/linux/commit/924bd96ea27d,nvme-pci: set the DMA mask earlier,Christoph Hellwig
cf4c9d2ac1e4,https://github.com/torvalds/linux/commit/cf4c9d2ac1e4,mmc: mmc_spi: fix error handling in mmc_spi_probe(),Yang Yingliang
605d9fb9556f,https://github.com/torvalds/linux/commit/605d9fb9556f,mmc: sdio: fix possible resource leaks in some error paths,Yang Yingliang
2038cc592811,https://github.com/torvalds/linux/commit/2038cc592811,bnxt_en: Fix mqprio and XDP ring checking logic,Michael Chan
c68f345b7c42,https://github.com/torvalds/linux/commit/c68f345b7c42,net/usb: kalmia: Don't pass act_len in usb_bulk_msg error path,Miko Larsson
7484a5bc153e,https://github.com/torvalds/linux/commit/7484a5bc153e,drm/ast: Fix start address computation,Jocelyn Falempe
ce4d9a1ea35a,https://github.com/torvalds/linux/commit/ce4d9a1ea35a,of: reserved_mem: Have kmemleak ignore dynamically allocated reserved mem,Isaac J. Manjarres
5ad7bbf3dba5,https://github.com/torvalds/linux/commit/5ad7bbf3dba5,drm/amdgpu/fence: Fix oops due to non-matching drm_sched init/fini,Guilherme G. Piccoli
1a3245fe0cf8,https://github.com/torvalds/linux/commit/1a3245fe0cf8,net: ethernet: mtk_eth_soc: fix DSA TX tag hwaccel for switch port 0,Vladimir Oltean
c966153d1202,https://github.com/torvalds/linux/commit/c966153d1202,net: ethernet: mtk_eth_soc: fix wrong parameters order in __xdp_rxq_info_reg(),Tariq Toukan
18a048370b06,https://github.com/torvalds/linux/commit/18a048370b06,net: mana: Fix accessing freed irq affinity_hint,Haiyang Zhang
c173ee5b2fa6,https://github.com/torvalds/linux/commit/c173ee5b2fa6,ASoC: topology: Return -ENOMEM on memory allocation failure,Amadeusz Sławiński
2de49fb1c9bb,https://github.com/torvalds/linux/commit/2de49fb1c9bb,RDMA/rtrs: Don't call kobject_del for srv_path->kobj,Li Zhijian
4fa4302d6dc7,https://github.com/torvalds/linux/commit/4fa4302d6dc7,cxl/region: Fix null pointer dereference for resetting decoder,Fan Ni
4a606ce68426,https://github.com/torvalds/linux/commit/4a606ce68426,ice: switch: fix potential memleak in ice_add_adv_recipe(),Zhang Changzhong
b2dbde3ad44f,https://github.com/torvalds/linux/commit/b2dbde3ad44f,ice: fix out-of-bounds KASAN warning in virtchnl,Michal Swiatkowski
e0576cd642ce,https://github.com/torvalds/linux/commit/e0576cd642ce,ASoC: tas5805m: add missing page switch.,Daniel Beer
